firstname,lastname,birthmonth,birthday,birthyear,course,phonenumber,carrier,gender
name1,lastname1,November,26,1998,BS Legal Management,+639183026210,Smart,Female
name2,lastname2,May,26,2001,BS Management,+639272126276,Globe,Female
name3,lastname3,May,16,1997,BS Communications Technology Management,+639182537017,Smart,Female
name4,lastname4,December,9,1997,BS Information Technology Entrepreneurship,+639187144360,Smart,Male
name5,lastname5,September,5,1997,BS Communications Technology Management,+639274621674,Globe,Female
name6,lastname6,March,2,1999,BS Management,+639186295268,Smart,Female
name7,lastname7,November,10,1998,BS Legal Management,+639173697388,Globe,Female
name8,lastname8,August,28,1999,BS Management Engineering,+639172406000,Globe,Male
name9,lastname9,July,10,1997,BS Management Engineering,+639182265748,Smart,Male
name10,lastname10,September,14,2001,BS Communications Technology Management,+639183421717,Smart,Female
name11,lastname11,December,8,1998,BS Legal Management,+639277081308,Globe,Male
name12,lastname12,May,4,1997,BS Management Engineering,+639277475497,Globe,Male
name13,lastname13,January,28,1999,BS Communications Technology Management,+639179594490,Globe,Female
name14,lastname14,January,11,1999,BS Management,+639275434192,Globe,Female
name15,lastname15,June,6,1998,BS Information Technology Entrepreneurship,+639172119497,Globe,Male
name16,lastname16,April,20,1999,BS Legal Management,+639181855162,Smart,Male
name17,lastname17,January,3,1997,BS Information Technology Entrepreneurship,+639271468146,Globe,Female
name18,lastname18,April,8,1997,BS Management,+639275164280,Globe,Female
name19,lastname19,December,28,1997,BS Information Technology Entrepreneurship,+639279586909,Globe,Male
name20,lastname20,March,10,1997,BS Management Engineering,+639175149105,Globe,Male
name21,lastname21,July,13,1999,BS Legal Management,+639279847499,Globe,Female
name22,lastname22,September,15,1999,BS Information Technology Entrepreneurship,+639276993694,Globe,Male
name23,lastname23,April,15,1997,BS Management,+639173172478,Globe,Male
name24,lastname24,October,1,1997,BS Management Engineering,+639171593829,Globe,Male
name25,lastname25,May,6,1997,BS Management Engineering,+639188986972,Smart,Male
name26,lastname26,December,5,1999,BS Management Engineering,+639177964622,Globe,Male
name27,lastname27,March,4,1997,BS Communications Technology Management,+639271387580,Globe,Female
name28,lastname28,November,10,2000,BS Legal Management,+639171959244,Globe,Male
name29,lastname29,October,10,1999,BS Legal Management,+639176433996,Globe,Female
name30,lastname30,May,28,1999,BS Communications Technology Management,+639177583119,Globe,Male
name31,lastname31,April,6,1999,BS Information Technology Entrepreneurship,+639186694265,Smart,Male
name32,lastname32,July,16,1999,BS Management,+639177508539,Globe,Female
name33,lastname33,December,17,1999,BS Information Technology Entrepreneurship,+639272369504,Globe,Male
name34,lastname34,October,4,1999,BS Legal Management,+639174384447,Globe,Female
name35,lastname35,July,14,2001,BS Information Technology Entrepreneurship,+639177736035,Globe,Male
name36,lastname36,December,11,1998,BS Management,+639184554185,Smart,Male
name37,lastname37,February,2,2000,BS Management,+639278899252,Globe,Female
name38,lastname38,August,25,2001,BS Legal Management,+639278748083,Globe,Female
name39,lastname39,May,3,1997,BS Management Engineering,+639278423053,Globe,Male
name40,lastname40,February,27,1998,BS Legal Management,+639279231234,Globe,Male
name41,lastname41,November,16,1999,BS Management,+639183814956,Smart,Male
name42,lastname42,September,24,1998,BS Legal Management,+639186029278,Smart,Female
name43,lastname43,January,13,1999,BS Management,+639185326748,Smart,Female
name44,lastname44,February,25,1998,BS Information Technology Entrepreneurship,+639176541291,Globe,Male
name45,lastname45,January,27,1997,BS Management Engineering,+639182441683,Smart,Female
name46,lastname46,December,24,1998,BS Management Engineering,+639178181190,Globe,Female
name47,lastname47,August,23,1999,BS Management,+639174686425,Globe,Male
name48,lastname48,April,13,1999,BS Information Technology Entrepreneurship,+639186351688,Smart,Female
name49,lastname49,October,11,1997,BS Legal Management,+639178211896,Globe,Male
name50,lastname50,March,25,2001,BS Legal Management,+639279249506,Globe,Male
name51,lastname51,August,22,1998,BS Information Technology Entrepreneurship,+639188542626,Smart,Female
name52,lastname52,March,21,1999,BS Communications Technology Management,+639184389745,Smart,Female
name53,lastname53,December,15,2000,BS Management,+639178938235,Globe,Male
name54,lastname54,July,10,1998,BS Communications Technology Management,+639182165250,Smart,Female
name55,lastname55,May,8,1998,BS Management Engineering,+639172571057,Globe,Female
name56,lastname56,September,9,1998,BS Management Engineering,+639279495098,Globe,Male
name57,lastname57,May,9,2001,BS Communications Technology Management,+639277666306,Globe,Female
name58,lastname58,April,6,1997,BS Management Engineering,+639188518794,Smart,Female
name59,lastname59,April,24,1998,BS Information Technology Entrepreneurship,+639179012860,Globe,Male
name60,lastname60,August,26,1999,BS Information Technology Entrepreneurship,+639186815912,Smart,Male
name61,lastname61,September,8,1998,BS Communications Technology Management,+639183401320,Smart,Female
name62,lastname62,December,7,2000,BS Information Technology Entrepreneurship,+639275511326,Globe,Female
name63,lastname63,February,22,2000,BS Management Engineering,+639189754142,Smart,Male
name64,lastname64,November,13,1997,BS Information Technology Entrepreneurship,+639174661269,Globe,Female
name65,lastname65,March,23,1997,BS Management Engineering,+639276271302,Globe,Female
name66,lastname66,September,24,1997,BS Legal Management,+639175535101,Globe,Female
name67,lastname67,December,9,1997,BS Communications Technology Management,+639174425313,Globe,Male
name68,lastname68,November,4,2001,BS Management,+639277157133,Globe,Male
name69,lastname69,November,19,1998,BS Communications Technology Management,+639174484860,Globe,Male
name70,lastname70,May,12,1998,BS Legal Management,+639172551167,Globe,Female
name71,lastname71,August,19,1999,BS Communications Technology Management,+639184613486,Smart,Female
name72,lastname72,December,1,1999,BS Management,+639273477129,Globe,Male
name73,lastname73,June,21,1998,BS Management Engineering,+639184046593,Smart,Male
name74,lastname74,October,25,1997,BS Legal Management,+639277378051,Globe,Male
name75,lastname75,September,17,1998,BS Information Technology Entrepreneurship,+639273487430,Globe,Male
name76,lastname76,February,2,1997,BS Communications Technology Management,+639271884940,Globe,Female
name77,lastname77,May,19,2000,BS Communications Technology Management,+639189613285,Smart,Male
name78,lastname78,September,15,2000,BS Management,+639185105817,Smart,Female
name79,lastname79,December,23,2000,BS Legal Management,+639276686229,Globe,Male
name80,lastname80,August,10,1999,BS Communications Technology Management,+639272299686,Globe,Female
name81,lastname81,February,1,1997,BS Communications Technology Management,+639188736019,Smart,Male
name82,lastname82,November,22,1997,BS Communications Technology Management,+639183767811,Smart,Male
name83,lastname83,June,18,2000,BS Management Engineering,+639271184679,Globe,Female
name84,lastname84,February,28,1999,BS Information Technology Entrepreneurship,+639172362591,Globe,Female
name85,lastname85,January,10,1999,BS Legal Management,+639271281225,Globe,Female
name86,lastname86,November,21,1998,BS Management,+639185876655,Smart,Male
name87,lastname87,August,15,1998,BS Information Technology Entrepreneurship,+639189458163,Smart,Female
name88,lastname88,January,26,1997,BS Management Engineering,+639179086005,Globe,Male
name89,lastname89,March,26,1998,BS Information Technology Entrepreneurship,+639173679784,Globe,Female
name90,lastname90,March,15,1999,BS Information Technology Entrepreneurship,+639185016913,Smart,Male
name91,lastname91,August,16,1997,BS Information Technology Entrepreneurship,+639188231926,Smart,Female
name92,lastname92,December,8,1997,BS Management Engineering,+639174491492,Globe,Male
name93,lastname93,June,14,1998,BS Information Technology Entrepreneurship,+639271961085,Globe,Female
name94,lastname94,November,24,1997,BS Legal Management,+639187681582,Smart,Male
name95,lastname95,September,6,2001,BS Communications Technology Management,+639271119326,Globe,Female
name96,lastname96,March,16,1999,BS Communications Technology Management,+639176991883,Globe,Male
name97,lastname97,January,19,1997,BS Management,+639181491873,Smart,Female
name98,lastname98,January,10,1998,BS Information Technology Entrepreneurship,+639276151107,Globe,Male
name99,lastname99,May,12,1998,BS Communications Technology Management,+639274408773,Globe,Male
name100,lastname100,May,10,1999,BS Management,+639277872993,Globe,Female
name101,lastname101,April,2,1997,BS Communications Technology Management,+639279523919,Globe,Female
name102,lastname102,August,14,2001,BS Legal Management,+639184547163,Smart,Male
name103,lastname103,December,16,2000,BS Management Engineering,+639271488884,Globe,Male
name104,lastname104,July,16,2001,BS Communications Technology Management,+639188523413,Smart,Female
